chapter_var|verse_num|hebrew_word|transliteration_gloss
et_ch7Verses|יח|וַיּוֹצִיאוּ|Oiotsio
et_ch7Verses|יח|וַיּוֹשִׁיבֻהוּ|Oioshibho
et_ch7Verses|כב|וְלְכוֹהוֹר|Olkohor
et_ch7Verses|כב|בֵן|Bn
et_ch7Verses|כב|וַיַּרְעֵף|Oirf
et_ch8Verses|ג|וַיּוֹלֵךְ|Oiolk
et_ch8Verses|ג|וַיַּעֲבִידֵהוּ|Oividho
et_ch8Verses|ד|וְכוֹרִיאַנְטוּמְר׃|Okhorintomr
et_ch8Verses|ו|וְיַעֲזֹב|Oizv
et_ch8Verses|ט|וּבַת|Obt
et_ch8Verses|י|וְאֶרְקֹד|Orkd
et_ch8Verses|יא|תְּנָה|Tnh
et_ch8Verses|יד|יֻכְרַת|Ikrt
et_ch8Verses|טו|וַיַּשְׁבִּיעֵם|Oishvim
et_ch8Verses|טו|מִקַּיִן|Mkin
et_ch8Verses|יז|וּבַת|Obt
et_ch8Verses|יז|הָעַתִּיקִים|Htikim
et_ch8Verses|יז|וַיַּטֵּם|Oitm
et_ch8Verses|כד|תָקִיצוּ|Tkitso
et_ch8Verses|כה|וְהַמְּדִינוֹת|Ohmdinot
et_ch8Verses|כה|וּמֵבִיאָה|Omvih
et_ch8Verses|כה|וְסָקְלוּם|Osklom
et_ch8Verses|כו|וְיִוָּשֵׁעוּ׃|Oiosho
et_ch9Verses|ג|גִבְעַת|Gvt
et_ch9Verses|ג|וַיֶּט|Oit
et_ch9Verses|ה|וַיַּשִּׂיגוּ|Oishigo
et_ch9Verses|ז|לְקַנֵּא|Lkn
et_ch9Verses|ז|וַיַּאַסְרֵהוּ|Oisrho
et_ch9Verses|ז|וַיַּאֲכִילֵהוּ|Oikhilho
et_ch9Verses|י|וַיִּקְנוּ|Oikno
et_ch9Verses|יב|וְהַנָּסִים|Ohnsim
et_ch9Verses|יח|וּפָרוֹת|Oprot
et_ch9Verses|יח|וַחֲזִירִים|Ochzirim
et_ch9Verses|יח|הוֹעִילוּ|Hoilo
et_ch9Verses|יט|וַחֲמוֹרִים|Ochmorim
et_ch9Verses|יט|פִּילִים|Pilim
et_ch9Verses|יט|וְקוּרֵלוֹמִים|Okorlomim
et_ch9Verses|יט|וְקוּמוֹמִים|Okomomim
et_ch9Verses|יט|הוֹעִילוּ|Hoilo
et_ch9Verses|יט|הַפִּילִים|Hpilim
et_ch9Verses|יט|וְהַקּוּרֵלוֹמִים|Ohkorlomim
et_ch9Verses|יט|וְהַקּוּמוֹמִים׃|Ohkomomim
et_ch9Verses|כב|וַיִּתְפָּאֵר|Oitfr
et_ch9Verses|כד|צְעִירָה|Tsirh
et_ch9Verses|כד|הֱיוֹתוֹ|Hioto
et_ch9Verses|כט|לְבוֹרוֹת|Lborot
et_ch9Verses|כט|חֵת׃|Cht
et_ch9Verses|לא|אַרְסִיִּים|Rsiim
et_ch9Verses|לא|וַיָּמִיתוּ|Oimito
et_ch9Verses|לד|יִגְוָעוּ|Igoo
et_ch9Verses|לה|דַיָּם|Dim
et_ch9Verses|לה|וַיּוֹרֵד|Oiord
et_ch10Verses|ג|שׁוֹדֵד|Shodd
et_ch10Verses|ד|בָנָה|Vnh
et_ch10Verses|ה|וּבַמִּסִּים|Obmsim
et_ch10Verses|ו|מִסִּים|Msim
et_ch10Verses|ו|וַיַּעֲבִידֵם|Oividm
et_ch10Verses|ז|הַיָּפָה|Hiph
et_ch10Verses|י|הֲקִימוֹ|Hkimo
et_ch10Verses|יא|זְנוּתָיו|Znotio
et_ch10Verses|יב|וּבְגִדּוּל|Obgdol
et_ch10Verses|יג|אֶת־קִים|Tkim
et_ch10Verses|יד|אֶת־לֵוִי|Tloi
et_ch10Verses|טו|לֵוִי|Loi
et_ch10Verses|יז|כּוֹרוֹם|Korom
et_ch10Verses|יז|רְאוֹתוֹ|Roto
et_ch10Verses|יט|צַיָּד|Tsid
et_ch10Verses|כא|יָצוּדוּ|Itsodo
et_ch10Verses|כב|וַיִּקְנוּ|Oikno
et_ch10Verses|כב|וַיִּמְכְּרוּ|Oimkro
et_ch10Verses|כג|עֲרֵמוֹת|Rmot
et_ch10Verses|כד|בֶגֶד|Vgd
et_ch10Verses|כה|לָדוּשׁ׃|Ldosh
et_ch10Verses|לב|נָטַל|Ntl
et_ch10Verses|לב|עַמְגִיד|Mgid
et_ch10Verses|לג|הַיְשָׁנוֹת|Hishnot
et_ch10Verses|לג|וַיַּשְׁבִּיעוּ|Oishvio
et_ch10Verses|לד|גָבַר|Gvr
et_ch11Verses|א|וְיַעַזְבוּ|Oizvo
et_ch11Verses|ז|רְעָבוֹן|Rvon
et_ch11Verses|ז|וּמַגֵּפוֹת|Omgpot
et_ch11Verses|ט|שֵׁת|Sht
et_ch11Verses|יא|בְּיָמָיו׃|Bimio
et_ch11Verses|טו|מְרִידָה|Mridh
et_ch11Verses|טו|וַיַּפֵּל|Oipl
et_ch11Verses|כב|סוֹדָם|Sodm
et_ch12Verses|א|וְכוֹרִיַנְטוּמְר|Okorintomr
et_ch12Verses|ד|וּמוּצָקִים|Omotskim
et_ch12Verses|ד|לְפָאֵר|Lfr
et_ch12Verses|ו|נִרְאִים|Nrim
et_ch12Verses|ו|נִסְיוֹן|Nsion
et_ch12Verses|ח|וּפֵאֵר|Ofr
et_ch12Verses|יג|וַאֲמוּלֶק|Omolk
et_ch12Verses|כא|רְאוֹת|Rot
et_ch12Verses|כג|יִלְעֲגוּ|Ilgo
et_ch12Verses|כד|יָדֵינוּ|Idino
et_ch12Verses|כד|כְּמוֹךָ|Kmok
et_ch12Verses|כד|יִגְבְּרוּ|Igbro
et_ch12Verses|כה|עַזִּים|Zim
et_ch12Verses|כו|יִלְעָגוּ|Ilgo
et_ch12Verses|כו|יִתְאַבָּלוּ|Itvlo
et_ch12Verses|ל|צֶרִין|Zerin
et_ch12Verses|ל|זוּז|Zoz
et_ch12Verses|ל|וַיָּזוּז|Oizoz
et_ch12Verses|ל|זָז|Zz
et_ch12Verses|לב|הֲכִינוֹתָ|Hkinot
et_ch12Verses|לב|הֲכִינוֹתָ׃|Hkinot
et_ch12Verses|לג|אָהַבְתָּ|Hvt
et_ch12Verses|לד|הֲכִינוֹתָ|Hkinot
et_ch12Verses|לז|יִטָּהֲרוּ|Ithro
et_ch12Verses|לז|הֲכִינוֹתִי|Hkinoti
et_ch12Verses|מא|הַמְּעִידָה|Hmidh
et_ch13Verses|ה|וִירוּשָׁלַיִם|Oiroshlim
et_ch13Verses|ח|כִּירוּשָׁלַיִם|Kiroshlim
et_ch13Verses|ח|יִבָּלְלוּ|Ibllo
et_ch13Verses|ט|הַיְשָׁנִים|Hishnim
et_ch13Verses|ט|הַיְשָׁנִים|Hishnim
et_ch13Verses|י|הַיֹּשְׁבִים|Hishbim
et_ch13Verses|יח|אַגֻדּוֹת|Gdot
et_ch13Verses|יח|יִלְכְּדוּ|Ilkdo
et_ch13Verses|כא|יִחְיֶה|Ichih
et_ch13Verses|כא|וְיִקְבְּרוּ|Oikbro
et_ch13Verses|כב|בֵיתוֹ|Bito
et_ch13Verses|כג|הֱבִיאוֹ|Hvio
et_ch13Verses|כח|חֶשְׁלוֹן׃|Heshlon
et_ch13Verses|כט|וַיַּדִּיחֵהוּ|Oidichho
et_ch13Verses|ל|וַיְמִיתֵהוּ׃|Oimitho
et_ch13Verses|לא|בִּירֵכוֹ|Birko
et_ch14Verses|א|עֲבוֹדָתוֹ|Vodto
et_ch14Verses|ב|יַשְׁאִיל|Ishil
et_ch14Verses|ב|בִּימִינוֹ|Bimino
et_ch14Verses|ה|צָר|Tsr
et_ch14Verses|ח|גִּלְעָד|Gld
et_ch14Verses|ח|אֲגֻדּוֹת|Gdot
et_ch14Verses|י|בְּקוֹמָתוֹ|Bkomto
et_ch14Verses|יא|בְּלִיב׃|Blib
et_ch14Verses|טו|אָגוֹשׁ|Gosh
et_ch14Verses|טו|בְּנוּסוֹ|Bnoso
et_ch14Verses|טז|אָגוֹשׁ|Gosh
et_ch14Verses|יז|וַיַּהֲפֹךְ|Oihpk
et_ch14Verses|יח|מְטַאטֵא|Mtt
et_ch14Verses|כא|אָרַךְ|Rkh
et_ch14Verses|כא|בְּגוּפוֹת|Bgopot
et_ch14Verses|כב|מְהִירָה|Mhirh
et_ch14Verses|כב|נוֹתַר|Notr
et_ch14Verses|כב|לְתוֹלְעֵי|Ltoli
et_ch14Verses|כג|וַיִּבָּהֲלוּ|Oibhlo
et_ch14Verses|כג|הָרֵיחַ׃|Hrich
et_ch14Verses|כד|מִכּוֹרִיַנְטוּמְר|Mkorintomr
et_ch14Verses|כח|שׁוּר|Shor
et_ch14Verses|כח|וְעֵמֶק|Omk
et_ch14Verses|כח|שׁוּר|Shor
et_ch14Verses|כח|כָּמְנוֹר|Comnor
et_ch14Verses|כח|כָּמְנוֹר|Comnor
et_ch14Verses|כט|וַיִּנָּגְפוּ|Oingpo
et_ch14Verses|כט|וַיִּנָּגְפוּ|Oingpo
et_ch14Verses|ל|וַיִּתְעַלֵּף|Oitlf
et_ch14Verses|לא|רְדֹף|Rdf
et_ch14Verses|ב|מִילְיוֹן|Milion
et_ch14Verses|ב|מִילְיוֹן|Milion
et_ch14Verses|ג|וַתְּמָאֵן|Otmn
et_ch14Verses|ו|וַיִּתְעָרוּ|Oitro
et_ch14Verses|ח|רִיפְלִיאַנְקוּם|Riflinkom
et_ch14Verses|ט|וַיִּתְעַלֵּף|Oitlf
et_ch14Verses|י|אוֹגַת׃|Ogt
et_ch14Verses|טו|וְכוֹבָעִים|Okhovim
et_ch14Verses|טו|וּלְבוּשִׁים|Olboshim
et_ch14Verses|טז|וַיִּיעָפוּ|Oiifo
et_ch14Verses|טז|לְיַלֵל|Lill
et_ch14Verses|טז|יְלָלוֹתֵיהֶם|Illotihm
et_ch14Verses|טז|וְקִינוֹתֵיהֶם|Okinotihm
et_ch14Verses|טז|בָּקְעוּ|Vko
et_ch14Verses|יז|בָּקְעוּ|Vko
et_ch14Verses|יז|וִילָלוֹתֵיהֶם|Oillotihm
et_ch14Verses|יז|וְקִינוֹתֵיהֶם|Okinotihm
et_ch14Verses|יח|וְיָחוּס|Oichos
et_ch14Verses|כא|הַלָּיְלָה׃|Hlilh
et_ch14Verses|כד|יָשְׁנוּ|Ishno
et_ch14Verses|כה|נוֹתְרוּ|Notro
et_ch14Verses|כו|וַיִּישְׁנוּ|Oiishno
et_ch14Verses|כו|וַיִּתְכּוֹנְנוּ|Oitkonno
et_ch14Verses|כו|וְגִבּוֹרֵי|Ogbori
et_ch14Verses|כז|וַיִּתְעַלְּפוּ|Oitlfo
et_ch14Verses|ל|וַיָּנַח|Oinch
et_ch14Verses|לא|הַכּוֹתוֹ|Hkoto
et_ch14Verses|לא|וַיִּתְרוֹמֵם|Oitromm
et_ch14Verses|לד|אִוָּשַׁע|Osh
mr_ch9Verses|טז|זֶנֶפִי|Zenephi
al_ch2Verses|י|יַכְנִיעֵם|Ikhnim
al_ch2Verses|יא|וַיֻּבְדְּלוּ|Oibdlo
al_ch2Verses|יב|וַיִּתְכּוֹנְנוּ|Oitkonno
al_ch2Verses|יב|וּבְקַלָּעוֹת|Ovklot
al_ch2Verses|יג|וַיְמֻנּוּ|Oimno
al_ch2Verses|יד|זִיֵּן|Zin
al_ch2Verses|טו|אַמְנִיהוּ|Mniho
al_ch2Verses|כ|וּבָעֵמֶק|Ovmk
al_ch2Verses|כ|נָטוּ|Nto
al_ch2Verses|כ|לַלָּיְלָה׃|Llilh
al_ch2Verses|כא|וּמְזִמּוֹתָם|Omzmotm
al_ch2Verses|כב|זֶרַם|Zrm
al_ch2Verses|כב|וְאַמְנוֹר|Omnor
